"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"435","CLEAR",2,41.794068457,-87.631765084
"436","CLEAR",10,41.975852858,-87.70913432
"437","CLEAR",23,41.884622653,-87.740174581
"438","CLEAR",22,41.918562574,-87.752759995
"439","CLEAR",23,41.947650384,-87.652066645
"440","CLEAR",0,41.871711896,-87.727967543
"441","CLEAR",19,41.758245505,-87.626521907
"442","CLEAR",13,41.917218796,-87.704089589
"443","CLEAR",12,41.990563552,-87.679956661
"444","CLEAR",15,41.783698382,-87.622327137
"445","CLEAR",19,41.728329606,-87.667620408
"446","CLEAR",14,41.917581792,-87.659022898
"447","CLEAR",23,41.874910028,-87.696273378
"448","CLEAR",22,41.882164167,-87.624514274
"449","CLEAR",16,41.924127551,-87.746421481
"450","CLEAR",22,41.756833695,-87.586198074
"451","CLEAR",1,41.876879092,-87.686183788
"452","CLEAR",22,41.707060027,-87.640269895
"453","CLEAR",22,41.876760655,-87.745291666
"454","CLEAR",8,41.828984082,-87.67971509
"455","CLEAR",3,41.876490114,-87.764870101
"456","CLEAR",20,41.815074725,-87.726156153
"457","CLEAR",9,41.758380751,-87.622689273
"458","CLEAR",21,41.791420282,-87.580147769
"459","CLOUDY/OVERCAST",13,41.854550801,-87.630289716
"460","CLEAR",22,41.771650146,-87.722729646
"461","CLEAR",3,41.80206786,-87.610703437
"462","CLEAR",21,41.877118037,-87.620498378
"463","CLEAR",0,41.836164407,-87.643649535
"464","CLEAR",13,41.883547875,-87.695452263
"465","CLEAR",18,41.887838564,-87.76502762
"466","CLEAR",22,41.736631187,-87.613247533
"467","CLEAR",17,41.767831279,-87.62476594
"468","CLOUDY/OVERCAST",18,41.946324666,-87.722814406
"469","CLEAR",0,41.951179742,-87.649442618
"470","CLEAR",21,41.750648116,-87.635963943
"471","CLEAR",4,41.791777111,-87.693891046
"472","CLEAR",20,41.761870493,-87.558626994
"473","CLEAR",3,41.876833207,-87.62940759
"474","CLEAR",12,41.994454886,-87.675479248
"475","CLOUDY/OVERCAST",13,41.915368157,-87.731533336
"476","CLOUDY/OVERCAST",19,41.929418888,-87.775966612
"477","CLOUDY/OVERCAST",12,41.922778608,-87.806070504
"478","CLEAR",19,41.79799187,-87.723443741
"479","CLEAR",20,41.881886887,-87.755267499
"480","CLEAR",17,41.951948584,-87.835944755
"481","CLEAR",17,41.72235866,-87.575414254
"482","CLEAR",15,41.685026256,-87.642297367
"483","CLEAR",0,41.991593745,-87.674072383
"484","CLOUDY/OVERCAST",16,41.924987539,-87.68996288
"485","CLEAR",14,41.795185016,-87.580597772
"486","CLEAR",7,41.893502715,-87.620927244
"487","CLEAR",15,41.940726141,-87.749248528
"488","CLEAR",7,41.759081033,-87.686909324
"489","CLEAR",20,41.882215268,-87.698923846
"490","CLEAR",8,41.876926589,-87.745039137
"491","CLEAR",4,41.97160605,-87.724641388
"492","CLEAR",0,41.923987119,-87.806107432
"493","CLEAR",11,41.953434839,-87.736641787
"494","CLEAR",2,41.868902107,-87.685953785
"495","CLEAR",23,41.876456323,-87.672207827
"496","CLEAR",18,41.95228263,-87.644954281
"497","CLEAR",11,41.885995093,-87.66444993
"498","CLOUDY/OVERCAST",11,41.677726337,-87.641759102
"499","CLEAR",6,41.939325873,-87.707550096
"500","CLEAR",14,41.916251077,-87.634906365
"501","CLEAR",14,41.883178845,-87.634007061
"502","CLEAR",6,41.908357084,-87.763532659
"503","CLEAR",14,41.755800725,-87.673353973
"504","CLEAR",11,41.983952201,-87.669006164
"505","CLEAR",21,41.765862941,-87.612787745
"506","CLEAR",23,41.940442903,-87.638633539
"507","CLEAR",2,41.902710243,-87.775238478
"508","CLEAR",4,41.895627643,-87.757922011
"509","CLEAR",1,41.822636879,-87.696579393
"510","CLOUDY/OVERCAST",8,41.754179348,-87.644280696
