Latitude,Longitude,crime_hour
41.905562604,-87.690782167,15
41.899695895,-87.722548188,17
41.894771586,-87.771224795,0
41.738752554,-87.584384705,12
41.796936817,-87.663446505,15
41.795991039,-87.630542489,11
41.716298115,-87.561094034,17
41.960869336,-87.73489906,18
41.748775374,-87.7331314,16
41.751505533,-87.583994603,19
41.855838254,-87.717588081,19
41.749873967,-87.552860394,19
41.749873967,-87.552860394,19
41.929851342,-87.648916062,23
41.976454319,-87.901364605,5
41.992260867,-87.681104494,11
41.976219521,-87.7577993,16
41.880992442,-87.704486793,7
41.884396735,-87.749454281,15
41.685355473,-87.619611628,18
41.906242849,-87.633000828,18
41.99355232,-87.682367785,19
41.871907915,-87.701792754,0
41.894121219,-87.712614696,7
41.733088802,-87.552711915,6
41.926215267,-87.649840538,16
41.976219521,-87.7577993,22
41.723047902,-87.661807861,21
41.888993854,-87.626934833,9
41.76888502,-87.615343355,16
41.999343695,-87.66066924,21
41.68801045,-87.667360199,18
41.898767916,-87.624116333,15
41.829753522,-87.671606031,14
41.728074176,-87.617054509,22
41.781449702,-87.652986003,23
41.754476264,-87.563861673,9
41.796771117,-87.708552732,9
41.834474256,-87.724298893,9
41.744151668,-87.62434741,13
41.899695895,-87.722548188,13
41.913392053,-87.793700675,12
41.998278581,-87.699669214,10
41.819960359,-87.692621859,9
41.877161446,-87.676536946,9
41.888993854,-87.626934833,14
41.87285385,-87.632576028,23
41.894011942,-87.763533068,13
41.916315095,-87.747319,17
41.854705136,-87.708994967,3
41.968257372,-87.726133447,18
41.757630995,-87.585708249,22
41.855838254,-87.717588081,8
41.894762629,-87.692987676,20
41.925702627,-87.696220789,14
41.751100484,-87.615985009,13
41.880992442,-87.704486793,10
41.898767916,-87.624116333,15
41.898767916,-87.624116333,12
41.920067895,-87.712602133,13
41.793100546,-87.688914267,13
41.960530431,-87.763209233,12
41.796936817,-87.663446505,4
41.908370832,-87.752237295,19
41.812128921,-87.624537335,23
41.985082652,-87.711375132,0
41.99355232,-87.682367785,18
41.877161446,-87.676536946,21
41.968939256,-87.761667058,8
